Bulbasaur;Grass;Poison;318;45;49;49;65;65;45;https://img.pokemondb.net/artwork/bulbasaur.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png;1;1
Ivysaur;Grass;Poison;405;60;62;63;80;80;60;https://img.pokemondb.net/artwork/ivysaur.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png;2;1
Venusaur;Grass;Poison;525;80;82;83;100;100;80;https://img.pokemondb.net/artwork/venusaur.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png;3;1
Charmander;Fire;;309;39;52;43;60;50;65;https://img.pokemondb.net/artwork/charmander.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png;4;1
Charmeleon;Fire;;405;58;64;58;80;65;80;https://img.pokemondb.net/artwork/charmeleon.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png;5;1
Charizard;Fire;Flying;534;78;84;78;109;85;100;https://img.pokemondb.net/artwork/charizard.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png;6;1
Squirtle;Water;;314;44;48;65;50;64;43;https://img.pokemondb.net/artwork/squirtle.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png;7;1
Wartortle;Water;;405;59;63;80;65;80;58;https://img.pokemondb.net/artwork/wartortle.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png;8;1
Blastoise;Water;;530;79;83;100;85;105;78;https://img.pokemondb.net/artwork/blastoise.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png;9;1
Caterpie;Bug;;195;45;30;35;20;20;45;https://img.pokemondb.net/artwork/caterpie.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png;10;1
Metapod;Bug;;205;50;20;55;25;25;30;https://img.pokemondb.net/artwork/metapod.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png;11;1
Butterfree;Bug;Flying;395;60;45;50;90;80;70;https://img.pokemondb.net/artwork/butterfree.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png;12;1
Weedle;Bug;Poison;195;40;35;30;20;20;50;https://img.pokemondb.net/artwork/weedle.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png;13;1
Kakuna;Bug;Poison;205;45;25;50;25;25;35;https://img.pokemondb.net/artwork/kakuna.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png;14;1
Beedrill;Bug;Poison;395;65;90;40;45;80;75;https://img.pokemondb.net/artwork/beedrill.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png;15;1
Pidgey;Normal;Flying;251;40;45;40;35;35;56;https://img.pokemondb.net/artwork/pidgey.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png;16;1
Pidgeotto;Normal;Flying;349;63;60;55;50;50;71;https://img.pokemondb.net/artwork/pidgeotto.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png;17;1
Pidgeot;Normal;Flying;479;83;80;75;70;70;101;https://img.pokemondb.net/artwork/pidgeot.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png;18;1
Rattata;Normal;;253;30;56;35;25;35;72;https://img.pokemondb.net/artwork/rattata.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png;19;1
Raticate;Normal;;413;55;81;60;50;70;97;https://img.pokemondb.net/artwork/raticate.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png;20;1
Spearow;Normal;Flying;262;40;60;30;31;31;70;https://img.pokemondb.net/artwork/spearow.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png;21;1
Fearow;Normal;Flying;442;65;90;65;61;61;100;https://img.pokemondb.net/artwork/fearow.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png;22;1
Ekans;Poison;;288;35;60;44;40;54;55;https://img.pokemondb.net/artwork/ekans.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png;23;1
Arbok;Poison;;448;60;95;69;65;79;80;https://img.pokemondb.net/artwork/arbok.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png;24;1
Pikachu;Electric;;320;35;55;40;50;50;90;https://img.pokemondb.net/artwork/pikachu.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png;25;1
Raichu;Electric;;485;60;90;55;90;80;110;https://img.pokemondb.net/artwork/raichu.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png;26;1
Sandshrew;Ground;;300;50;75;85;20;30;40;https://img.pokemondb.net/artwork/sandshrew.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png;27;1
Sandslash;Ground;;450;75;100;110;45;55;65;https://img.pokemondb.net/artwork/sandslash.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png;28;1
Nidoran♀;Poison;;275;55;47;52;40;40;41;https://img.pokemondb.net/artwork/nidoran-f.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png;29;1
Nidorina;Poison;;365;70;62;67;55;55;56;https://img.pokemondb.net/artwork/nidorina.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png;30;1
Nidoqueen;Poison;Ground;505;90;92;87;75;85;76;https://img.pokemondb.net/artwork/nidoqueen.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png;31;1
Nidoran♂;Poison;;273;46;57;40;40;40;50;https://img.pokemondb.net/artwork/nidoran-m.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png;32;1
Nidorino;Poison;;365;61;72;57;55;55;65;https://img.pokemondb.net/artwork/nidorino.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png;33;1
Nidoking;Poison;Ground;505;81;102;77;85;75;85;https://img.pokemondb.net/artwork/nidoking.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png;34;1
Clefairy;Fairy;;323;70;45;48;60;65;35;https://img.pokemondb.net/artwork/clefairy.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png;35;1
Clefable;Fairy;;483;95;70;73;95;90;60;https://img.pokemondb.net/artwork/clefable.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png;36;1
Vulpix;Fire;;299;38;41;40;50;65;65;https://img.pokemondb.net/artwork/vulpix.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png;37;1
Ninetales;Fire;;505;73;76;75;81;100;100;https://img.pokemondb.net/artwork/ninetales.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png;38;1
Jigglypuff;Normal;Fairy;270;115;45;20;45;25;20;https://img.pokemondb.net/artwork/jigglypuff.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png;39;1
Wigglytuff;Normal;Fairy;435;140;70;45;85;50;45;https://img.pokemondb.net/artwork/wigglytuff.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png;40;1
Zubat;Poison;Flying;245;40;45;35;30;40;55;https://img.pokemondb.net/artwork/zubat.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png;41;1
Golbat;Poison;Flying;455;75;80;70;65;75;90;https://img.pokemondb.net/artwork/golbat.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png;42;1
Oddish;Grass;Poison;320;45;50;55;75;65;30;https://img.pokemondb.net/artwork/oddish.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png;43;1
Gloom;Grass;Poison;395;60;65;70;85;75;40;https://img.pokemondb.net/artwork/gloom.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png;44;1
Vileplume;Grass;Poison;490;75;80;85;110;90;50;https://img.pokemondb.net/artwork/vileplume.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png;45;1
Paras;Bug;Grass;285;35;70;55;45;55;25;https://img.pokemondb.net/artwork/paras.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/paras.png;46;1
Parasect;Bug;Grass;405;60;95;80;60;80;30;https://img.pokemondb.net/artwork/parasect.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png;47;1
Venonat;Bug;Poison;305;60;55;50;40;55;45;https://img.pokemondb.net/artwork/venonat.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png;48;1
Venomoth;Bug;Poison;450;70;65;60;90;75;90;https://img.pokemondb.net/artwork/venomoth.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png;49;1
Diglett;Ground;;265;10;55;25;35;45;95;https://img.pokemondb.net/artwork/diglett.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png;50;1
Dugtrio;Ground;;425;35;100;50;50;70;120;https://img.pokemondb.net/artwork/dugtrio.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png;51;1
Meowth;Normal;;290;40;45;35;40;40;90;https://img.pokemondb.net/artwork/meowth.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png;52;1
Persian;Normal;;440;65;70;60;65;65;115;https://img.pokemondb.net/artwork/persian.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/persian.png;53;1
Psyduck;Water;;320;50;52;48;65;50;55;https://img.pokemondb.net/artwork/psyduck.jpg;https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png;54;1
